id,text,created_at,hashtags
1757552910966387084,"Asli sih pengen nangis denger tante sendiri ngomong

""mending golput gue mah daripada milih 01. Dirty vote itu isinya hoax semua!!! Ga bakalan mau pilih Anies.""

Ya iya sih memilih itu hak masing-masing, tapi sedih bgt soalnya dikasih fakta dicounter mulu pake ""hoax itu hoax""",2024-02-13 23:50:42+00:00,
1757552901885661435,"Besok 14 Februari kita harus kompak ke TPS coblos AMIN 01, dan mengawal suara kita agar tidak dicurangi mulai dari tps. 
@aniesbaswedan @cakimiNOW

#01AMINwinElection #AMINmenang https://t.co/XBLvyv0VsW",2024-02-13 23:50:40+00:00,"01AMINwinElection, AMINmenang"
1757552898509328597,"@zqhr @Ujuveveve_ @ahgalucu Yang dilarang yang dilarang, ngapain lu ngelarang orang lain gua tanya? Emang itu gak ngejudgemental kah?",2024-02-13 23:50:39+00:00,
1757552857765515391,"2:01 3Q

TKA - 37
Collegedale- 18

#TKALionsTN🦁",2024-02-13 23:50:29+00:00,TKALionsTN
1757552848416764195,Semoga Allah SWT meridhoi kemenangan 01 untuk PERUBAHAN Indonesia.. AmiiiiN https://t.co/Kzx96NkfNF,2024-02-13 23:50:27+00:00,
1757552781844721936,"@cakimiNOW Sudah cak, bismillah cak, cuaca hujan dari malem insyaallah berkah buat 01 cak aamin https://t.co/6Xmq2ENv4K",2024-02-13 23:50:11+00:00,
1757552771933585509,"@itbfess Kagak anjir klo di tempat gua kebanyakan pada pilih 02, yg pilih 01 justru yg dibully 😭",2024-02-13 23:50:09+00:00,
1757552695395938343,"@Muhammad_Saewad Gak akan menang.
Tapi kalo 01 menang, saat itu juga 01 jadi musuh gue.
Pokoknya siapapun yang menang, jadi musuh gue.
Karena itu udah tugas gue untuk mengawasi, memarahi memecat orang yang gue gaji dari tiap pajak yang gue keluarin.",2024-02-13 23:49:50+00:00,
1757552688232005836,Sedino dadi abdur #wongtambak https://t.co/gjyJm0LmbN,2024-02-13 23:49:49+00:00,wongtambak
1757552680908808326,Senang rasanya berada dalam barisan 01 AMIN yang dari segala perjuangan pemenangan selalu diakhiri dengan kepasrahan kepada Tuhan Sang Pemilik Wewenang👍,2024-02-13 23:49:47+00:00,
1757552668963385574,"@entalpih Pdi, golkar,gerindra, pks, hanura.

01 : 27
02 : 42
03 : 31",2024-02-13 23:49:44+00:00,
1757552660885180670,"pengen dibuat takjub sm tim 01, kalau mrk udh punya cara jitu ngalahin kcurangan",2024-02-13 23:49:42+00:00,
1757552632074522791,"Rindu banget sama suasana nya ....
Rindu semua yang ada di sekolah ....
.
.
.
.
.
@taruhancash_ 
#milenial #genz #gemoy #fyp #indonesia #jakarta #semarang #surabaya #katakata #viral #terbaru #canduharu #taruhancash #01 #02 #03 https://t.co/MxCuPc5rb6",2024-02-13 23:49:35+00:00,"milenial, genz, gemoy, fyp, indonesia, jakarta, semarang, surabaya, katakata, viral, terbaru, canduharu, taruhancash"
1757552627741839865,"@ferrykoto @prabowo @gibran_tweet Kita semua paham jk terjadi 2 putaran maka mental 02 akan sangat terganggu krn:
1. butuh fisik yg tetap kuat sampai Juni (skrg aja udah ngos2an)
2. butuh ngeluarin kocek lbh banyak, skrg aja udah jor-joran, bahkan dibantu bansos pun blm ngangkat
3. khawatir 01&amp;03 bergabung
😁😁😁",2024-02-13 23:49:34+00:00,
1757552627389448500,@liputan6dotcom Si nomor 01 yang selalu memberikan janji janji manis saja https://t.co/GNXYdAkMho,2024-02-13 23:49:34+00:00,
1757552601586118680,"@sjksozky @cakimiNOW @lediahanifa @PKSejahtera Progmna alus sibapa ieu, tp si biben ge alus programna. Rada dilema ieu",2024-02-13 23:49:28+00:00,
1757552567830421858,"ibu bapak di rumah udah fix 01. bapak apalagi, kalo buka youtube nontoninnya pak anies mulu. sementara adek gw, umur 27 &amp; pejuang loker yg sekarang nyambi jadi kurir, seneng bgt nontonin video pak prabs di tiktok pake bgm musik sedih-sedih. udah dibilangin, masih ngeyel. susah.",2024-02-13 23:49:20+00:00,
1757552545705373916,"@lilst0pid @tanyarlfes Sorry om salah orang, saya kira keluarga sy 🙏",2024-02-13 23:49:15+00:00,
1757552539971789145,"@ahgalucu @zqhr @Ujuveveve_ Ya suka-suka gua lah, Lo pada aja seenak jidat ngasih statement tentang pandangan dia ke LGBT yg gak menjudge pdhl asline kagak seperti itu, jadi gak usah sok tau lu",2024-02-13 23:49:13+00:00,
1757552525614678527,"@tempodotco Dan Allah ga mengizinkan penguasa culas bertengger diatas tahta , dgn didatangkan hujan dari malam sampe pagi, Bismillahirrahmanirrahim 01",2024-02-13 23:49:10+00:00,
1757552518866010250,"@Arma_Anyway @Scrt_zi_ Aku yg antusias 01 aja gak 100% sependapat sama yg ada di 01, tapi kalau bandingin ke3nya, menurutku 01 unggul jauh. 

Seperti yg pernah aku bilang, pak Anies itu harus sempurna bagi yg gak memilih dia. 😌",2024-02-13 23:49:08+00:00,
1757552518371131453,@dhemit_is_back Iya gue gaakan golput tenang aja demi 01,2024-02-13 23:49:08+00:00,
1757552510481609012,@legislatweet bang siapa yang bakal kalah di putaran awal 01 atau 03 nih,2024-02-13 23:49:06+00:00,
1757552498758582748,"jam segini udh sarapan, beda kali gak kek di smg",2024-02-13 23:49:04+00:00,
1757552479770964465,Bingung nyoblos 01 atau 03. Yang penting asal bukan 02,2024-02-13 23:48:59+00:00,
1757552447202148371,@habiburokhman Pendukung 01 adalah orang 2 yang waras yang akan mengatakan yang benar itu benar dan yang salah itu salah beda sama pendukung 02 pajak dinaikin beras maha gula mahal minyak mahal malah tepuk tangan dan tololnya lagi malah mendukung keberlanjutan kerja yang gak becus,2024-02-13 23:48:51+00:00,
1757552414444642365,"Lah, elu udah keluar dari penjara kah? Kok gue kudet.",2024-02-13 23:48:44+00:00,
1757552413521895673,"@sosmedkeras Jauh-jauh sebelum kampanye akbar dan film ini rilis, ane udah mantepin hati di 01. Kepincut gara-gara 'Desak Anies'. Bismillah..",2024-02-13 23:48:43+00:00,
1757552403900232069,@chaerrryy0 @mulyanamul @VeronicaKoman Ini sih salah nya PDIP juga maka nya yg kena dampak terberat PDIP,2024-02-13 23:48:41+00:00,
1757552394202964334,@fadlizon @prabowo Salam 01  cukup 2014 dan 2019 dukung pak Prabowo beliu sudah sepuh waktu nya istirahat,2024-02-13 23:48:39+00:00,
1757552382802850263,"Prediksi, 2 putaran. 01 dan 02 lolos putaran kedua. Kita lihat perkembangannya geesss.",2024-02-13 23:48:36+00:00,
1757552320756527364,"@peggypingkan Kondisi pemilih masyarakat kita emang rendah. Jadi percaya aja apa yg mereka liat di HP nya. 

Padahal sumber ga valid

Tp ya sulit merubah mereka.

Lebih sedihnya suara kita itu sama dengan mereka. 

Gaskeun 01 hari ini!",2024-02-13 23:48:21+00:00,
1757552275512541347,demi Allah lagi mau nyoblos tbtb ibu2 samping gw cerita pagi ini jg blio ganti pilihan pres dari 01 jadi 02 grgr katanya si pak anies lagi ditahan KPK????😭😭,2024-02-13 23:48:10+00:00,
1757552272597561545,@AndreasSolusi Berkabunga atas matinya harapan 01 &amp; 02,2024-02-13 23:48:10+00:00,
1757552258886312117,"Capres 01 @aniesbaswedan bakal pake hak suaranya di TPS 060. Lokasinya ada di sekitar kediamannya di Lebak Bulus, Jakarta Selatan. #Pemilu2024 #PilihanIndonesia #CNNIndonesia
https://t.co/CCeIymAvfc",2024-02-13 23:48:06+00:00,"Pemilu2024, PilihanIndonesia, CNNIndonesia"
1757552232864895142,@vaniepink Siap2 kita dokumentasikan perolehan suara jgn lupa setting tgl dan jam...insha allah atas ijin allah swt menang 01 dalam 1 putaran,2024-02-13 23:48:00+00:00,
1757552232269222321,"@zqhr @Ujuveveve_ @ahgalucu Yg bilang lu siape? Gua bilang kusen tolol itu, gak jelas betdah norak",2024-02-13 23:48:00+00:00,
1757552224262369595,terakhir datang ke TPS buat kasih hak suara di tahun 2004. setelah itu gak pernah lagi. Ni hari gw mau kasih lagi hak suara buat 01 + PKS. Dpd nya gw kasih buat afrizal alias Komeng.,2024-02-13 23:47:58+00:00,
1757552214992924727,"Ga suka tiap 01 cmn ngomong 'kita udh ikhtiar, apapun hasilnyaa...'",2024-02-13 23:47:56+00:00,
1757552181606322657,"Dari hasil Polling bulan Januari 2024, dari polster International Roy Morgan ini, Pilpres 2024 akan berlangsung 2 putaran. Tidak ada yg mencapai Single Mayority (50%+1).  Artinya akan bertarung kembali pasangan 01 dengan 02. Sampai ketemu di bulan Juni 2024.",2024-02-13 23:47:48+00:00,
1757552175922962581,Bismillah.. Coblos 01 https://t.co/3tM5F6Qtej,2024-02-13 23:47:47+00:00,
1757552134382670222,@budibongg Pagi uncle,2024-02-13 23:47:37+00:00,
1757552114543558678,@Fahrihamzah Pendukung 01 adalah orang 2 yang waras yang akan mengatakan yang benar itu benar dan yang salah itu salah beda sama pendukung 02 pajak dinaikin beras maha gula mahal minyak mahal malah tepuk tangan dan tololnya lagi malah mendukung keberlanjutan kerja yang gak becus,2024-02-13 23:47:32+00:00,
1757552087813197966,@zqhr Lu yg baca lagi gak jelas,2024-02-13 23:47:26+00:00,
